,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
58,Banka Bioloo,Miscellaneous,73.75,1.25,1.72,80.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bankabioloo/BB08,BANKA.NS
59,BSE Limited,Miscellaneous,657.95,11.15,1.72,8913.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bselimited/B08,BSE.NS
60,Techindia Nirm,Miscellaneous,12.35,0.20,1.65,18.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/techindianirman/NS07,TECHIN.NS
61,Surana Solar,Electric Equipment,27.90,0.45,1.64,137.0,https://www.moneycontrol.com/india/stockpricequote/electricequipment/suranasolar/SV05,SURANASOL.NS
62,Madhav Copper,,28.10,0.45,1.63,76.0,https://www.moneycontrol.com/india/stockpricequote/madhavcopper/madhavcopper/MC07,MCL.NS
63,Greenply Ind,Miscellaneous,193.80,3.00,1.57,2381.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/greenplyindustries/GI19,GREENPLY.NS
64,Orient Press,Printing & Stationery,63.50,0.95,1.52,64.0,https://www.moneycontrol.com/india/stockpricequote/printingstationery/orientpress/OP02,ORIENTLTD.NS
65,DNL,,197.80,2.90,1.49,369.0,https://www.moneycontrol.com/india/stockpricequote/dcmnouvellelimited/dcmnouvellelimited/DCMNV54272,DCMNVL.NS
66,Satin Credit,,114.15,1.65,1.47,856.0,https://www.moneycontrol.com/india/stockpricequote/satincreditcarenetwork/satincreditcarenetwork/SCN,SATIN.NS
67,Archidply Ind,Miscellaneous,99.10,1.35,1.38,197.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/archidplyindustries/AI,ARCHIDPLY.NS
68,Global Vectra,Transport & Logistics,55.15,0.75,1.38,77.0,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/globalvectrahelicorp/GVH,GLOBALVECT.NS
69,Sambhaav Media,Printing & Stationery,3.75,0.05,1.35,72.0,https://www.moneycontrol.com/india/stockpricequote/printingstationery/sambhaavmedia/SM16,SAMBHAAV.NS
70,Jocil,Chemicals,197.95,2.50,1.28,176.0,https://www.moneycontrol.com/india/stockpricequote/chemicals/jocil/J01,JOCIL.NS
71,New India Assur,Miscellaneous,95.05,1.15,1.22,15664.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/newindiaassurancecompany/NIA,NIACL.NS
72,Nippon,Miscellaneous,294.90,3.55,1.22,18369.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/nipponlifeindiaassetmanagement/RNL,NAM-INDIA.NS
73,Spencer Retail,Miscellaneous,79.30,0.95,1.21,715.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/spencerretail/SPENC54233,SPENCERS.NS
74,Bharat 22 ETF,,53.68,0.59,1.11,21638.0,https://www.moneycontrol.com/india/stockpricequote/bharat22etficiciprudentialamc/bharat22etficiciprudentialamc/ICI15,ICICIB22.NS
75,Radhika Jewel,Diamond Cutting & Jewellery & Precious Metals,177.25,1.90,1.08,418.0,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/radhikajeweltech/RJI,RADHIKAJWE.NS
76,Apcotex Ind,Rubber,596.90,6.25,1.06,3095.0,https://www.moneycontrol.com/india/stockpricequote/rubber/apcotexindustries/AI58,APCOTEXIND.NS
77,Airo Lam,Miscellaneous,72.35,0.75,1.05,109.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/airolam/AL08,AIROLAM.NS
78,AFL,Miscellaneous,284.80,2.95,1.05,3780.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arvindfashionslimited/ARVIN54248,ARVINDFASN.NS
79,Dalmia Bharat,Cement - Major,1550.60,15.95,1.04,29069.0,https://www.moneycontrol.com/india/stockpricequote/cementmajor/dalmiabharat/OCL,DALBHARAT.NS
80,Pix Transmis,Rubber,943.90,9.50,1.02,1286.0,https://www.moneycontrol.com/india/stockpricequote/rubber/pixtransmissions/PT07,PIXTRANS.NS
81,Sportking India,Textiles - Spinning - Synthetic Blended,917.45,8.80,0.97,1219.0,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/sportkingindia/SI97,SPORTKING.NS
82,ICRA,Miscellaneous,3794.35,36.15,0.96,3662.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/icra/ICR,ICRA.NS
83,Satia Ind,Paper,117.35,1.05,0.90,1174.0,https://www.moneycontrol.com/india/stockpricequote/paper/satiaindustries/SI96,SATIA.NS
84,DFM Foods,Food Processing,361.80,3.15,0.88,1819.0,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/dfmfoods/DFM,DFMFOODS.NS
85,SBI-ETF Nifty,,182.52,1.33,0.73,23.0,https://www.moneycontrol.com/india/stockpricequote/sbietfnifty50/sbietfnifty50/SBI27,SETFNIF50.NS
86,Raj Oil Mills,Edible Oils & Solvent Extraction,62.90,0.45,0.72,24.0,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/rajoilmills/ROM01,ROML.NS
87,MMP Industries,Miscellaneous,177.35,1.25,0.71,451.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/mmpindustriesltd/MIL17,MMP.NS
88,Anik Industries,Edible Oils & Solvent Extraction,44.75,0.30,0.67,124.0,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/anikindustries/AI57,ANIKINDS.NS
89,Gravita India,Metals - Non Ferrous,327.15,2.05,0.63,2259.0,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/gravitaindia/GI09,GRAVITA.NS
90,AB Capital,Finance - Investments,115.40,0.70,0.61,27887.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adityabirlacapital/ABC9,ABCAPITAL.NS
91,Waterbase,Aquaculture,82.80,0.50,0.61,343.0,https://www.moneycontrol.com/india/stockpricequote/aquaculture/waterbase/W04,WATERBASE.NS
92,Titan Company,Miscellaneous,2627.35,14.75,0.56,233252.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/titancompany/TI01,TITAN.NS
93,Sheela Foam,Miscellaneous,3260.95,18.05,0.56,15908.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/sheelafoam/SF14,SFL.NS
94,SIS,Miscellaneous,454.45,2.50,0.55,6688.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/sis/SIS08,SIS.NS
95,IWML,,1669.80,8.70,0.52,14831.0,https://www.moneycontrol.com/india/stockpricequote/iiflwealthmanagementlimited/iiflwealthmanagementlimited/IIFLW54277,IIFLWAM.NS
96,Kaya,Miscellaneous,333.05,1.60,0.48,435.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kaya/K03,KAYA.NS
97,PPL,Miscellaneous,189.00,0.90,0.48,452.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/prakashpipeslimited/PPL54268,PPL.NS
98,Wonderla,Miscellaneous,362.25,1.70,0.47,2049.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/wonderlaholidays/WH01,WONDERLA.NS
99,Rail Vikas,Miscellaneous,32.95,0.15,0.46,6870.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/railvikasnigam/RVN,RVNL.NS
100,Adani Trans,Power - Transmission & Equipment,3881.25,14.70,0.38,432951.0,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanitransmission/AT22,ADANITRANS.NS
101,Avanti Feeds,Aquaculture,466.85,1.60,0.34,6361.0,https://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21,AVANTIFEED.NS
102,Akash Infraproj,Miscellaneous,46.80,0.15,0.32,79.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/akashinfraprojects/AI76,AKASH.NS
103,Infibeam Avenue,Miscellaneous,15.60,0.05,0.32,4176.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/infibeamavenues/IIL03,INFIBEAM.NS
104,SEL,Miscellaneous,16.25,0.05,0.31,381.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/sakumaexportsltd/SAKUM53271,SAKUMA.NS
105,CARE Ratings,Miscellaneous,509.60,1.25,0.25,1511.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/careratings/CAR,CARERATING.NS
106,JISL,Miscellaneous,21.25,0.05,0.24,41.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jainirrigationsystems/JISLD57000,JISLDVREQS.NS
107,Shanti Overseas,Miscellaneous,23.85,0.05,0.21,26.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/shantioverseasindia/SO01,SHANTI.NS
108,Libas Consumer,Miscellaneous,26.20,0.05,0.19,46.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/libasconsumerproducts/LD03,LIBAS.NS
109,CRISIL,Miscellaneous,3253.95,5.30,0.16,23768.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI,CRISIL.NS
110,Agro Tech Foods,Edible Oils & Solvent Extraction,767.00,1.20,0.16,1869.0,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/agrotechfoods/ATF,ATFL.NS
111,Godrej Agrovet,Miscellaneous,522.10,0.65,0.12,10033.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/godrejagrovet/GA03,GODREJAGRO.NS
112,The Western Ind,Miscellaneous,56.55,0.05,0.09,48.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/thewesternindiaplywoods/TWI,WIPL.NS
113,Info Edge,Miscellaneous,4255.45,3.10,0.07,54889.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/infoedgeindia/IEI01,NAUKRI.NS
114,ISL,,72.15,0.05,0.07,2194.0,https://www.moneycontrol.com/india/stockpricequote/iiflsecuritieslimited/iiflsecuritieslimited/IIFLS54277,IIFLSEC.NS
115,Cupid,Miscellaneous,232.35,0.10,0.04,310.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cupid/CR02,CUPID.NS
116,D-Link India,Computers - Hardware,188.85,0.05,0.03,671.0,https://www.moneycontrol.com/india/stockpricequote/computershardware/dlinkindia/DLI01,DLINKINDIA.NS
117,TeamLease Ser.,Miscellaneous,3339.75,0.85,0.03,5710.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/teamleaseservices/TS13,TEAMLEASE.NS
