,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
66,NBCC (India),Infrastructure - General,34.60,0.35,1.02,6228.0,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/nbccindia/NBC01,NBCC.NS
67,Gujarat Apollo,Engineering - Heavy,190.85,1.80,0.95,225.0,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/gujaratapolloindustries/GAI03,GUJAPOLLO.NS
68,Indian Card,Textiles - Machinery,229.05,2.10,0.93,136.0,https://www.moneycontrol.com/india/stockpricequote/textilesmachinery/indiancardclothing/ICC01,INDIANCARD.NS
69,Swaraj Engines,Engines,1596.65,14.30,0.90,1939.0,https://www.moneycontrol.com/india/stockpricequote/engines/swarajengines/SE,SWARAJENG.NS
70,Thermax,Infrastructure - General,2419.95,21.20,0.88,28835.0,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/thermax/T,THERMAX.NS
71,NRB Industrial,Bearings,22.95,0.20,0.88,56.0,https://www.moneycontrol.com/india/stockpricequote/bearings/nrbindustrialbearings/NRB01,NIBL.NS
72,Mazda,Engineering,603.10,5.15,0.86,242.0,https://www.moneycontrol.com/india/stockpricequote/engineering/mazda/M14,MAZDA.NS
73,Cummins,Engines,1211.45,9.85,0.82,33581.0,https://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02,CUMMINSIND.NS
74,Kalpataru Power,Power - Transmission & Equipment,404.05,3.20,0.80,6017.0,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/kalpatarupowertransmission/KPT,KALPATPOWR.NS
75,Siemens,Infrastructure - General,2935.40,21.50,0.74,104536.0,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/siemens/S,SIEMENS.NS
76,TD Power System,Engineering - Heavy,600.55,4.20,0.70,1869.0,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/tdpowersystems/TPS01,TDPOWERSYS.NS
77,Lakshmi Machine,Textiles - Machinery,12503.10,87.15,0.70,13357.0,https://www.moneycontrol.com/india/stockpricequote/textilesmachinery/lakshmimachineworks/LMW,LAXMIMACH.NS
78,Kirloskar Bros,Pumps,334.45,1.85,0.56,2656.0,https://www.moneycontrol.com/india/stockpricequote/pumps/kirloskarbrothers/KB02,KIRLOSBROS.NS
79,Kirloskar Ind,,1590.00,8.60,0.54,1559.0,https://www.moneycontrol.com/india/stockpricequote/kirloskarindustries/kirloskarindustries/KOE,KIRLOSIND.NS
80,Graphite India,Electrodes & Graphite,408.45,2.15,0.53,7980.0,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/graphiteindia/GI13,GRAPHITE.NS
81,Shakti Pumps,Pumps,549.45,2.30,0.42,1010.0,https://www.moneycontrol.com/india/stockpricequote/pumps/shaktipumpsindia/SPI08,SHAKTIPUMP.NS
82,Veto Switch,Electric Equipment,107.60,0.45,0.42,206.0,https://www.moneycontrol.com/india/stockpricequote/electricequipment/vetoswitchgearscables/VSC01,VETO.NS
83,Pitti Engineeri,Engineering,319.95,1.25,0.39,1025.0,https://www.moneycontrol.com/india/stockpricequote/engineering/pittiengineering/PL,PITTIENG.NS
84,Sanghvi Movers,Engineering - Heavy,253.25,0.85,0.34,1096.0,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/sanghvimovers/SM10,SANGHVIMOV.NS
