,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
95,Indian Bank,Banks - Public Sector,192.55,0.75,0.39,23981.0,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/indianbank/IB04,INDIANB.NS
96,Summit Sec,Finance - Investments,600.40,2.30,0.38,655.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/summitsecurities/SS56,SUMMITSEC.NS
97,Times Guaranty,Finance - Leasing & Hire Purchase,52.45,0.20,0.38,47.0,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/timesguaranty/TG,TIMESGTY.NS
98,Nalwa Sons,Finance - General,1504.00,5.45,0.36,772.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/nalwasonsinvestment/NSI02,NSIL.NS
99,Punjab & Sind,Banks - Public Sector,15.60,0.05,0.32,10573.0,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/punjabsindbank/PSB,PSB.NS
100,VLS Finance,Finance - Leasing & Hire Purchase,146.60,0.45,0.31,567.0,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/vlsfinance/VLS,VLSFINANCE.NS
101,Bank of Mah,Banks - Public Sector,18.00,0.05,0.28,12115.0,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankmaharashtra/BM05,MAHABANK.NS
102,NIF100BEES,,186.95,0.51,0.27,35.0,https://www.moneycontrol.com/india/stockpricequote/nipponindiaetfnifty100/nipponindiaetfnifty100/RSC03,NIF100BEES.NS
103,Bajaj Finserv,Finance - Investments,17376.10,46.85,0.27,276768.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajfinserv/BF04,BAJAJFINSV.NS
104,LTGILTBEES,,22.70,0.06,0.27,30.0,https://www.moneycontrol.com/india/stockpricequote/nipponindiaetfnifty813yrgseclongtermgil/nipponindiaetfnifty813yrgseclongtermgil/RSL06,LTGILTBEES.NS
105,IDBI Bank,,43.30,0.10,0.23,46558.0,https://www.moneycontrol.com/india/stockpricequote/idbibank/idbibank/IDB05,IDBI.NS
106,Khandwala Sec,Finance - General,29.50,0.05,0.17,45.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/khandwalasecurities/KS15,KHANDSE.NS
107,Hexa Tradex,Finance - Investments,168.10,0.25,0.15,929.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/hexatradex/HT03,HEXATRADEX.NS
108,DELPHI WORLD,Finance - Investments,410.95,0.60,0.15,457.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/delphiworldmoney/WF02,DELPHIFX.NS
109,Delta Corp,Construction & Contracting - Real Estate,211.45,0.30,0.14,5655.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/deltacorp/DC11,DELTACORP.NS
110,MO M100 ETF,,33.45,0.04,0.12,147.0,https://www.moneycontrol.com/india/stockpricequote/motilaloswalmidcap100etf/motilaloswalmidcap100etf/MOM01,MOM100.NS
111,Bajaj Finance,,7196.20,5.85,0.08,435679.0,https://www.moneycontrol.com/india/stockpricequote/bajajfinance/bajajfinance/BAF,BAJFINANCE.NS
112,CONSUMBEES,,86.70,0.06,0.07,54.0,https://www.moneycontrol.com/india/stockpricequote/nipponindiaetfniftyindiaconsumption/nipponindiaetfniftyindiaconsumption/RMF04,CONSUMBEES.NS
113,Muthoot Finance,Finance - Investments,1030.60,0.60,0.06,41364.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/muthootfinance/MF10,MUTHOOTFIN.NS
114,Capri Global,Finance - General,728.45,0.30,0.04,12802.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/capriglobalcapital/MMF05,CGCL.NS
115,Blue Chip,Finance - Investments,0.45,0.00,0.00,2.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bluechipindia/BCI02,BLUECHIP.NS
116,Visagar Polytex,Textiles - Readymade Apparels,1.30,0.00,0.00,38.0,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/visagarpolytex/VP10,VIVIDHA.NS
117,Bank of India,Banks - Public Sector,50.90,0.00,0.00,20887.0,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofindia/BOI,BANKINDIA.NS
118,Centrum Capital,Finance - General,26.00,0.00,0.00,1082.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/centrumcapital/CF09,CENTRUM.NS
