,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
47,Shilpa,Pharmaceuticals,381.95,0.60,0.16,3315.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/shilpamedicare/SM19,SHILPAMED.NS
48,Advanced Enzyme,Pharmaceuticals,268.90,0.25,0.09,3007.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET,ADVENZYMES.NS
49,Torrent Pharma,Pharmaceuticals,1520.75,0.90,0.06,51469.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/torrentpharmaceuticals/TP06,TORNTPHARM.NS
50,Lupin,Pharmaceuticals,653.15,-0.55,-0.08,29697.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,LUPIN.NS
51,Bafna Pharma,Pharmaceuticals,113.90,-0.10,-0.09,269.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bafnapharmaceuticals/BP01,BAFNAPH.NS
52,Panacea Biotec,Pharmaceuticals,139.70,-0.15,-0.11,856.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/panaceabiotec/PB02,PANACEABIO.NS
53,Divis Labs,Pharmaceuticals,3592.75,-5.40,-0.15,95376.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03,DIVISLAB.NS
54,Lincoln Pharma,Pharmaceuticals,288.45,-0.55,-0.19,578.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lincolnpharmaceuticals/LP06,LINCOLN.NS
55,Vaishali Pharma,Pharmaceuticals,96.70,-0.25,-0.26,102.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/vaishalipharma/VP01,VAISHALI.NS
56,Zota Health Car,Pharmaceuticals,265.30,-0.70,-0.26,668.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/zotahealthcare/ZHC,ZOTA.NS
