,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
54,Gati,Couriers,172.85,-1.50,-0.86,2126.0,https://www.moneycontrol.com/india/stockpricequote/couriers/gati/G04,GATI.NS
55,Rajesh Exports,Diamond Cutting & Jewellery & Precious Metals,580.05,-5.15,-0.88,17127.0,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/rajeshexports/RE07,RAJESHEXPO.NS
56,HLV,Hotels,10.40,-0.10,-0.95,686.0,https://www.moneycontrol.com/india/stockpricequote/hotels/hlv/HLV,HLVLTD.NS
57,India Tourism D,Hotels,388.05,-3.80,-0.97,3328.0,https://www.moneycontrol.com/india/stockpricequote/hotels/indiatourismdevelopmentcorporation/ITD02,ITDC.NS
58,Narayana Hruda,Hospitals & Medical Services,706.75,-6.95,-0.97,14443.0,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/narayanahrudayalaya/NH,NH.NS
59,VRL Logistics,Transport & Logistics,616.55,-6.10,-0.98,5447.0,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/vrllogistics/VL03,VRLLOG.NS
60,Ind Motor Parts,Trading,746.50,-7.60,-1.01,932.0,https://www.moneycontrol.com/india/stockpricequote/trading/indiamotorpartsaccessories/IMP03,IMPAL.NS
61,Accuracy Shippi,Shipping,198.90,-2.05,-1.02,299.0,https://www.moneycontrol.com/india/stockpricequote/shipping/accuracyshipping/AS26,ACCURACY.NS
62,Arshiya,Transport & Logistics,13.95,-0.15,-1.06,366.0,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/arshiya/AI60,ARSHIYA.NS
63,Total Transport,Transport & Logistics,110.10,-1.25,-1.12,158.0,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/totaltransportsystems/TTS01,TOTAL.NS
64,Goldiam Inter,Diamond Cutting & Jewellery & Precious Metals,139.35,-1.65,-1.17,1519.0,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/goldiaminternational/GI10,GOLDIAM.NS
65,Speciality Rest,Hotels,211.85,-2.80,-1.30,995.0,https://www.moneycontrol.com/india/stockpricequote/hotels/specialityrestaurants/SR06,SPECIALITY.NS
66,Taj GVK Hotels,Hotels,179.45,-2.40,-1.32,1125.0,https://www.moneycontrol.com/india/stockpricequote/hotels/tajgvkhotelsresorts/TGV,TAJGVK.NS
67,Patel Integrate,,14.90,-0.20,-1.32,54.0,https://www.moneycontrol.com/india/stockpricequote/patelintegratedlogistics/patelintegratedlogistics/PIL05,PATINTLOG.NS
